,时间,最终排名,实时预测排名,平均绝对误差,均方误差
0,1592294397.87,1,[0.76402427],0.23597573232017377,0.0556845462440423
1,1592294407.87,1,[0.76465222],0.2353477845972043,0.05538857971481207
2,1592294417.87,1,[0.70896054],0.291039459714886,0.08470396711113275
3,1592294427.87,1,[0.77494487],0.22505512542101702,0.0506498094782697
4,1592294437.87,1,[0.78073526],0.21926474045222266,0.04807702640558057
5,1592294447.87,1,[0.7747589],0.22524109989394747,0.05073355308143522
6,1592294457.87,1,[0.75198928],0.24801072014865833,0.061509317308656115
7,1592294467.87,1,[0.67440297],0.3255970346285545,0.10601342895890811
8,1592294477.87,1,[0.6389905],0.3610094998161447,0.13032785895750298
9,1592294487.87,1,[0.74557508],0.25442491629660235,0.06473203803253312
10,1592294497.87,1,[0.7073916],0.2926084043082565,0.08561967827182411
11,1592294507.87,1,[0.70624017],0.29375983341387324,0.08629483972734656
12,1592294517.87,1,[0.72806622],0.2719337834440665,0.07394798257820445
13,1592294527.87,1,[0.72567759],0.2743224070652637,0.07525278301808022
14,1592294537.87,1,[0.7511361],0.24886389606267922,0.06193323876349601
15,1592294547.87,1,[0.73842424],0.2615757563328519,0.06842187630110351
16,1592294557.87,1,[0.70165545],0.2983445501362707,0.08900947059601375
17,1592294567.87,1,[0.7261415],0.27385849773728077,0.07499847678292022
18,1592294577.87,1,[0.73030003],0.269699973927757,0.07273807593663281
19,1592294587.87,1,[0.73346174],0.2665382596420428,0.07104264385300903
20,1592294597.87,1,[0.75452826],0.24547174178490005,0.06025637601491265
21,1592294607.87,1,[0.74589653],0.2541034746280372,0.06456857581804153
22,1592294617.87,1,[0.71285987],0.2871401324345505,0.0824494556545312
23,1592294627.87,1,[0.70801697],0.2919830321677197,0.08525409107385563
24,1592294637.87,1,[0.68982533],0.31017467495466655,0.09620832898323305
25,1592294647.87,1,[0.69794046],0.3020595440022855,0.09123996812286866
26,1592294657.87,1,[0.69786608],0.3021339249546664,0.09128490860851199
27,1592294667.87,1,[0.7066409],0.2933591035260952,0.08605956362163422
28,1592294677.87,1,[0.73231443],0.2676855686069748,0.0716555636404394
29,1592294687.87,1,[0.73711407],0.26288593414421524,0.06910901437087667
30,1592294697.87,1,[0.72624083],0.2737591742288854,0.07494408547448124
31,1592294707.87,1,[0.7173529],0.2826471039935652,0.07988938539594925
32,1592294717.87,1,[0.73594611],0.26405389290092984,0.06972445835613572
33,1592294727.87,1,[0.74453561],0.2554643904970836,0.0652620548120464
34,1592294737.87,1,[0.75657758],0.24342241568023382,0.05925447245560054
35,1592294747.87,1,[0.76139104],0.2386089607820583,0.05693423616549383
36,1592294757.87,1,[0.77347336],0.22652663591942113,0.051314316780969975
37,1592294767.87,1,[0.77888947],0.22111053105247414,0.04888986694230713
38,1592294777.87,1,[0.74098822],0.2590117764889658,0.06708710035996997
39,1592294787.87,1,[0.72363614],0.27636385982229916,0.07637698301587942
40,1592294797.87,1,[0.74500464],0.2549953584694853,0.06502263284098131
41,1592294807.87,1,[0.72548362],0.2745163807117358,0.07535924327907066
42,1592294817.87,1,[0.70936897],0.2906310265450691,0.08446639359064066
43,1592294827.87,1,[0.71740418],0.2825958195645495,0.07986039723535941
44,1592294837.87,1,[0.7646399],0.23536009862128604,0.05539437602302149
45,1592294847.87,1,[0.75775005],0.2422499469118844,0.05868503677881081
46,1592294857.87,1,[0.77681622],0.22318378024521768,0.049810999764545616
47,1592294867.87,1,[0.76718152],0.23281847850529103,0.05420444393351866
48,1592294877.87,1,[0.7767406],0.2232594033790286,0.04984476119715981
49,1592294887.87,1,[0.7767406],0.2232594033790284,0.049844761197159713
50,1592294897.87,1,[0.77770551],0.22229448770442528,0.04941483926377288
51,1592294907.87,1,[0.77257767],0.22742233055601813,0.05172091643553078
52,1592294917.87,1,[0.77259331],0.2274066936512561,0.05171380431739624
53,1592294927.87,1,[0.78624346],0.21375653888935142,0.045691857917954805
54,1592294937.87,1,[0.77348378],0.22651621746078,0.05130959677273937
55,1592294947.87,1,[0.77512845],0.224871551376864,0.05056721461863758
56,1592294957.87,1,[0.77962477],0.22037523178210683,0.048565242783017305
57,1592294967.87,1,[0.7800823],0.21991770100038865,0.04836379521329635
