,时间,最终排名,实时预测排名,平均绝对误差,均方误差
0,1592294397.87,1,[0.75774139],0.24225860690883227,0.05868923262140811
1,1592294407.87,1,[0.75536467],0.2446353307216056,0.059846445037269345
2,1592294417.87,1,[0.72658732],0.27341267824479654,0.07475449262499263
3,1592294427.87,1,[0.74256498],0.2574350212336525,0.0662727901575711
4,1592294437.87,1,[0.76677969],0.23322030622838663,0.054391711237262434
5,1592294447.87,1,[0.75374013],0.2462598697782069,0.06064392346317942
6,1592294457.87,1,[0.7511785],0.24882149530034547,0.06191213652349985
7,1592294467.87,1,[0.71511869],0.28488130841669723,0.08115735988520936
8,1592294477.87,1,[0.75125521],0.2487447891859279,0.061873970147151715
9,1592294487.87,1,[0.74555605],0.25444395273706477,0.06474172508446165
10,1592294497.87,1,[0.73431578],0.2656842164135882,0.07058810285130236
11,1592294507.87,1,[0.72048805],0.2795119495203936,0.07812692992469106
12,1592294517.87,1,[0.72821964],0.2717803579542799,0.07386456296975652
13,1592294527.87,1,[0.72626857],0.27373143465631355,0.07492889831900365
14,1592294537.87,1,[0.72747045],0.2725295526140602,0.07427235704801981
15,1592294547.87,1,[0.73718708],0.2628129171973934,0.06907062944580397
16,1592294557.87,1,[0.76316703],0.23683297168457296,0.05608985647694573
17,1592294567.87,1,[0.7574802],0.2425197966845729,0.05881585178392658
18,1592294577.87,1,[0.76754059],0.232459411123492,0.054037377819880675
19,1592294587.87,1,[0.74935611],0.25064388658806813,0.06282235788397236
20,1592294597.87,1,[0.74972635],0.2502736509739194,0.06263690037181523
21,1592294607.87,1,[0.71838768],0.28161232422428006,0.07930550115500104
22,1592294617.87,1,[0.72392728],0.2760727205275383,0.07621614701947625
23,1592294627.87,1,[0.73966681],0.2603331926803576,0.0677733712111482
24,1592294637.87,1,[0.73735661],0.2626433934379333,0.06898155211659303
25,1592294647.87,1,[0.73199418],0.2680058220093622,0.07182712063091393
26,1592294657.87,1,[0.75002064],0.24997935550609407,0.06248967817924216
27,1592294667.87,1,[0.75447665],0.24552335046946405,0.06028171562575128
28,1592294677.87,1,[0.75938717],0.2406128253226879,0.05789453170976632
29,1592294687.87,1,[0.75376],0.246239998302486,0.060634136764008306
30,1592294697.87,1,[0.74577966],0.25422034165536955,0.06462798211137283
31,1592294707.87,1,[0.73222307],0.26777692516123575,0.07170448164880605
32,1592294717.87,1,[0.75693766],0.24306234007720218,0.059079301163805484
33,1592294727.87,1,[0.74272857],0.25727142969132366,0.06618858853541769
34,1592294737.87,1,[0.69208297],0.30791703088179967,0.09481289790706317
35,1592294747.87,1,[0.72172229],0.2782777070269661,0.07743848222818597
36,1592294757.87,1,[0.70966399],0.29033601059839464,0.08429499905019112
37,1592294767.87,1,[0.70650257],0.29349743489416935,0.08614074428945717
38,1592294777.87,1,[0.7215029],0.2784971047582008,0.07756063735870025
39,1592294787.87,1,[0.71700914],0.2829908558404519,0.08008382448931144
40,1592294797.87,1,[0.71616236],0.2838376351965126,0.08056380315394858
41,1592294807.87,1,[0.71859917],0.281400831625084,0.07918642803928888
42,1592294817.87,1,[0.71794456],0.2820554427361952,0.0795552727771111
43,1592294827.87,1,[0.71892421],0.2810757872821532,0.07900359819628223
44,1592294837.87,1,[0.71362245],0.2863775454659796,0.08201209854711922
45,1592294847.87,1,[0.7109635],0.28903650476960696,0.08354210108943103
46,1592294857.87,1,[0.71552062],0.284479379769607,0.0809285175141003
47,1592294867.87,1,[0.71369571],0.2863042915661439,0.08197014736919153
48,1592294877.87,1,[0.72504556],0.2749544438478899,0.07559994619170245
49,1592294887.87,1,[0.72231704],0.2776829646812231,0.0771078288741534
50,1592294897.87,1,[0.73773597],0.2622640271812232,0.06878241995331338
51,1592294907.87,1,[0.7209997],0.27900029878217114,0.07784116672054077
52,1592294917.87,1,[0.7622765],0.23772350099829798,0.05651246292688778
53,1592294927.87,1,[0.76619233],0.233807672681687,0.05466602780482689
54,1592294937.87,1,[0.76852049],0.2314795079991473,0.0535827626235273
55,1592294947.87,1,[0.79007282],0.2099271849629296,0.04406942298646006
56,1592294957.87,1,[0.7953454],0.20465459964546917,0.04188350515604727
57,1592294967.87,1,[0.80439097],0.19560903020102471,0.0382628926961854
58,1592294977.87,1,[0.77302967],0.22697033257469656,0.05151553186906836
59,1592294987.87,1,[0.80568675],0.19431324924136317,0.03775763883073613
60,1592294997.87,1,[0.79670695],0.20329304534620862,0.041328062286135635
61,1592295007.87,1,[0.8049702],0.1950298010280267,0.03803662328903168
62,1592295017.87,1,[0.79568073],0.20431927427501795,0.041746365840270014
63,1592295027.87,1,[0.80169439],0.19830561111872969,0.039325115401172846
64,1592295037.87,1,[0.79885895],0.20114105159492024,0.040457722636710367
65,1592295047.87,1,[0.7625881],0.2374119028829733,0.05636441163051435
66,1592295057.87,1,[0.58069949],0.4193005138888889,0.1758129209474863
67,1592295067.87,1,[0.62061544],0.37938456331168824,0.14393264687920038
