,时间,最终排名,实时预测排名,平均绝对误差,均方误差
0,1592294397.87,1,[0.75613065],0.24386934799240578,0.05947225889024111
1,1592294407.87,1,[0.78522586],0.21477414088126268,0.04612793159128447
2,1592294417.87,1,[0.75107225],0.24892774573784981,0.061965022598127605
3,1592294427.87,1,[0.76724831],0.23275169074305968,0.05417334954375289
4,1592294437.87,1,[0.77744295],0.22255705322399022,0.04953164193974602
5,1592294447.87,1,[0.75921829],0.24078170869734072,0.05797583124321105
6,1592294457.87,1,[0.7288972],0.2711027993199079,0.07349672779909025
7,1592294467.87,1,[0.75838257],0.2416174295728597,0.058378982273395816
8,1592294477.87,1,[0.77283989],0.22716011232161837,0.051601716629970276
9,1592294487.87,1,[0.76385124],0.2361487567131919,0.0557662352971863
10,1592294497.87,1,[0.77640639],0.22359361062615435,0.04999410271284032
11,1592294507.87,1,[0.79716352],0.2028364820401355,0.04114263844641821
12,1592294517.87,1,[0.7659165],0.23408349938110118,0.05479508468250199
13,1592294527.87,1,[0.76051441],0.23948558866681535,0.05735334717909108
14,1592294537.87,1,[0.7631719],0.23682809670416494,0.056087547388517296
15,1592294547.87,1,[0.71987275],0.2801272509288997,0.07847127671298272
16,1592294557.87,1,[0.72499414],0.27500586143971484,0.07562822382619963
17,1592294567.87,1,[0.72720744],0.2727925585091693,0.07441577997797855
18,1592294577.87,1,[0.75320835],0.2467916514070122,0.06090611920420023
19,1592294587.87,1,[0.74733406],0.2526659372232316,0.06384007583289401
20,1592294597.87,1,[0.72892192],0.27107807916988624,0.07348332500643512
21,1592294607.87,1,[0.73582427],0.26417573034529096,0.06978881650346788
22,1592294617.87,1,[0.73888393],0.261116073294009,0.06818160373248228
23,1592294627.87,1,[0.71003353],0.28996647182067736,0.08408055478013168
24,1592294637.87,1,[0.73794797],0.2620520323365505,0.06867126765171651
25,1592294647.87,1,[0.74508179],0.2549182097008529,0.064983293637088
26,1592294657.87,1,[0.72589796],0.2741020430341863,0.0751319299955149
27,1592294667.87,1,[0.71967941],0.28032058915241975,0.07857963270275971
28,1592294677.87,1,[0.73191507],0.26808492753625823,0.07186952837212082
29,1592294687.87,1,[0.7428098],0.257190200263531,0.06614679911159518
30,1592294697.87,1,[0.65226325],0.3477367521534185,0.120920848798208
31,1592294707.87,1,[0.6775337],0.3224662974576513,0.10398451299604645
32,1592294717.87,1,[0.6556144],0.3443855999468288,0.11860144145073723
33,1592294727.87,1,[0.67244357],0.3275564284100321,0.10729321379273647
34,1592294737.87,1,[0.68454994],0.3154500637217671,0.09950874270206692
35,1592294747.87,1,[0.64807836],0.3519216381265289,0.12384883938165954
36,1592294757.87,1,[0.66836203],0.3316379685738595,0.10998374219979623
37,1592294767.87,1,[0.66925726],0.33074274370613466,0.10939076251426187
38,1592294777.87,1,[0.65946755],0.3405324520394679,0.11596235089201251
39,1592294787.87,1,[0.67263444],0.32736556215851553,0.1071682112873609
40,1592294797.87,1,[0.70129641],0.298703590477419,0.08922383496410165
41,1592294807.87,1,[0.72156292],0.2784370831244778,0.07752720925886736
42,1592294817.87,1,[0.71001127],0.28998872895781125,0.08409346292256692
43,1592294827.87,1,[0.71250841],0.2874915861006684,0.08265141207867802
44,1592294837.87,1,[0.72927056],0.2707294375,0.07329442832906641
45,1592294847.87,1,[0.72777765],0.2722223482142857,0.07410500686729982
46,1592294857.87,1,[0.74375416],0.2562458363095239,0.06566192862596733
47,1592294867.87,1,[0.73434799],0.26565200892857144,0.0705709898477858
48,1592294877.87,1,[0.73277853],0.267221467261905,0.07140731256560535
49,1592294887.87,1,[0.72830597],0.2716940267857144,0.07381764419103651
50,1592294897.87,1,[0.72888124],0.2711187589285716,0.07350538144296893
51,1592294907.87,1,[0.73848795],0.2615120525793653,0.06838855364427271
52,1592294917.87,1,[0.73010076],0.26989924007936517,0.0728455997954188
53,1592294927.87,1,[0.72435668],0.27564332043650797,0.0759792401012634
54,1592294937.87,1,[0.73140766],0.26859234126984133,0.07214184578881491
55,1592294947.87,1,[0.73545449],0.26454551178804864,0.06998432780720058
56,1592294957.87,1,[0.73098038],0.2690196248832868,0.07237155857234434
57,1592294967.87,1,[0.72670983],0.2732901725023342,0.0746875183863556
58,1592294977.87,1,[0.73864284],0.26135715662931847,0.0683075633213621
59,1592294987.87,1,[0.75123352],0.24876647742657654,0.061884760291227414
60,1592294997.87,1,[0.76648522],0.23351478099800516,0.05452915294454631
61,1592295007.87,1,[0.77628511],0.22371488516467175,0.050048349844242265
62,1592295017.87,1,[0.79121839],0.20878161345598822,0.043589762117285685
63,1592295027.87,1,[0.80862034],0.19137965512265498,0.03662617239486636
64,1592295037.87,1,[0.84344599],0.15655400730519475,0.024509157203314973
65,1592295047.87,1,[0.83939085],0.1606091461940835,0.02579529784119249
66,1592295057.87,1,[0.84889335],0.15110664619408376,0.022833218524024007
67,1592295067.87,1,[0.84889335],0.15110664619408376,0.022833218524024007
68,1592295077.87,1,[0.85214244],0.14785755690836933,0.021861857134911674
69,1592295087.87,1,[0.84136811],0.15863189024170266,0.025164076601655597
70,1592295097.87,1,[0.85146528],0.1485347225829725,0.022062563812800605
71,1592295107.87,1,[0.85265657],0.14734343091630586,0.0217100866341882
72,1592295117.87,1,[0.84759747],0.15240252813852817,0.02322653058301487
73,1592295127.87,1,[0.83637686],0.16362313528138517,0.026772530399310473
74,1592295137.87,1,[0.83064523],0.16935476785714287,0.028681037395946754
75,1592295147.87,1,[0.8279254],0.17207460119047613,0.029609668374861408
76,1592295157.87,1,[0.83077004],0.1692299553571429,0.028638777790180585
77,1592295167.87,1,[0.84307119],0.15692880952380972,0.024626651258560152
78,1592295177.87,1,[0.8550393],0.14496070238095238,0.02101360523477905
79,1592295187.87,1,[0.85798478],0.14201522321428572,0.0201683236246034
80,1592295197.87,1,[0.85350441],0.14649559325396821,0.021460958842832098
81,1592295207.87,1,[0.85263267],0.14736733409645897,0.021717131158697358
82,1592295217.87,1,[0.85484335],0.145156645030043,0.021070451596377906
83,1592295227.87,1,[0.84342875],0.15657125217290013,0.024514557006989884
84,1592295237.87,1,[0.84196129],0.1580387120726494,0.024976234513581785
85,1592295247.87,1,[0.84266891],0.15733109293484282,0.024753072804072147
86,1592295257.87,1,[0.84584323],0.15415676663614142,0.023764308699709764
87,1592295267.87,1,[0.84354489],0.1564551075452325,0.02447820067699027
88,1592295277.87,1,[0.84750264],0.15249735754523253,0.023255444058278486
89,1592295287.87,1,[0.84992723],0.15007277421189902,0.022521837559655623
90,1592295297.87,1,[0.84628191],0.15371808671189913,0.02362925018236694
91,1592295307.87,1,[0.84347371],0.15652628611666108,0.024500478245474848
92,1592295317.87,1,[0.84877807],0.15122192960511727,0.022868071993495043
93,1592295327.87,1,[0.86337652],0.13662348389804646,0.018665976352439762
94,1592295337.87,1,[0.85558458],0.14441542139804608,0.020855813937575227
95,1592295347.87,1,[0.85870947],0.1412905305250305,0.019963014016044573
96,1592295357.87,1,[0.86003572],0.1399642805250304,0.019589999822889406
97,1592295367.87,1,[0.85778621],0.1422137896825395,0.02022476197586958
98,1592295377.87,1,[0.85574985],0.14425014682539672,0.02080810485914851
99,1592295387.87,1,[0.86491554],0.1350844593253967,0.018247811151234757
100,1592295397.87,1,[0.86491554],0.1350844593253967,0.018247811151234757
101,1592295407.87,1,[0.86543318],0.13456682043650792,0.018108229162391364
102,1592295417.87,1,[0.87549605],0.12450395238095235,0.015501234158478452
103,1592295427.87,1,[0.87969113],0.12030886904761895,0.014474223971517125
104,1592295437.87,1,[0.8785081],0.1214918958333332,0.014760280753177485
105,1592295447.87,1,[0.87027901],0.12972099404761894,0.01682753629670239
106,1592295457.87,1,[0.87793007],0.1220699305555556,0.014901067945838165
107,1592295467.87,1,[0.87978443],0.12021557341269828,0.01445178409094385
108,1592295477.87,1,[0.88452791],0.11547209126984104,0.013333803862230499
109,1592295487.87,1,[0.88406069],0.11593931349206321,0.013441924413010911
110,1592295497.87,1,[0.85259982],0.1474001820887446,0.02172681367979507
111,1592295507.87,1,[0.88708799],0.11291201289682529,0.01274912265641284
112,1592295517.87,1,[0.85559504],0.14440496185064955,0.02085279300708755
113,1592295527.87,1,[0.89385232],0.10614767956349225,0.01126732987671383
114,1592295537.87,1,[0.86787158],0.13212842468642483,0.017457920610116237
